impression_id,hour_of_day,day_of_week,device_type,vertical,user_recency_days,true_pcvr,estimated_pcvr,floor_price,bid,won,clearing_price,converted,cumulative_spend,cumulative_conversions,cumulative_wins,participation_rate,shade_factor,landscape_win_prob
3001,4,2,mobile,e-commerce,9.38,0.04457,0.05455,0.4039,2.7275,False,0.0,False,0.0,0,0,1.0,0.15,
3002,7,2,mobile,finance,1.73,0.04244,0.05203,0.5096,2.6016,False,0.0,False,0.0,0,0,1.0,0.15,
3003,20,1,mobile,e-commerce,0.61,0.049,0.05671,0.5196,2.8356,False,0.0,False,0.0,0,0,1.0,0.15,
3004,12,2,tablet,auto,11.45,0.0219,0.02684,0.4636,1.3422,False,0.0,False,0.0,0,0,1.0,0.15,
3005,16,5,mobile,telecom,17.75,0.02525,0.03512,0.3684,1.7559,False,0.0,False,0.0,0,0,1.0,0.15,
3006,23,3,desktop,e-commerce,12.57,0.04202,0.04913,0.507,2.4566,False,0.0,False,0.0,0,0,1.0,0.15,
3007,21,5,mobile,finance,4.82,0.02851,0.04048,0.2781,2.024,False,0.0,False,0.0,0,0,1.0,0.15,
3008,8,4,desktop,e-commerce,1.13,0.06135,0.07463,0.5023,3.7313,False,0.0,False,0.0,0,0,1.0,0.15,
3009,20,2,mobile,finance,2.54,0.03159,0.04067,0.4812,2.0336,False,0.0,False,0.0,0,0,1.0,0.15,
3010,22,3,desktop,e-commerce,5.68,0.04639,0.0528,0.513,2.64,False,0.0,False,0.0,0,0,1.0,0.15,
3011,2,0,desktop,auto,6.41,0.03351,0.03354,0.4804,1.6769,False,0.0,False,0.0,0,0,1.0,0.15,
3012,19,6,mobile,finance,12.13,0.02071,0.03473,0.5545,1.7366,False,0.0,False,0.0,0,0,1.0,0.15,
3013,15,2,mobile,finance,0.07,0.03827,0.04997,0.6684,2.4987,False,0.0,False,0.0,0,0,1.0,0.15,
3014,21,4,mobile,auto,6.06,0.02288,0.03035,0.2886,1.5173,False,0.0,False,0.0,0,0,1.0,0.15,
